中央台,#genre#
CCTV1,http://183.215.116.134:6610/180000001001/00000001000000000007000000001243/main.m3u8?IASHttpSessionId=OTT
CCTV1,http://183.215.116.134:6610/180000001001/00000001000000001001000000000036/main.m3u8?IASHttpSessionId=OTT
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://39.134.65.198/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.65.200/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.65.211/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.65.215/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.65.239/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.65.245/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.65.251/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000000000000020000000000182562/index.m3u8
CCTV1,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000000000000020000000000182562/main.m3u8
CCTV1,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000007000000001243/main.m3u8
CCTV1,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000000000000020000000000182562/main.m3u8
CCTV1,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000007000000001243/index.m3u8
CCTV1,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000000000000020000000000182562/index.m3u8
CCTV1,http://111.23.232.117/180000001002/00000001000000000007000000001243/main.m3u8
CCTV1,http://111.23.232.117/180000001002/00000001000000000007000000001243/index.m3u8
CCTV1,http://111.23.232.117/180000001002/00000000000000020000000000182562/main.m3u8
CCTV1,http://111.23.232.117/180000001002/00000000000000020000000000182562/index.m3u8?
CCTV1,http://[2409:8087:5011:1020::1a]/180000001001/00000001000000001001000000000036/main.m3u8?IASHttpSessionId=OTT
CCTV1,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000021973&livemode=1&stbId=4
CCTV1,http://[2409:8087:5011:1020::1a]/180000001001/00000001000000001001000000000036/1.m3u8
CCTV1,http://[2409:8087:5011:1020::2b]/PLTV/1/224/3221226098/1.m3u8
CCTV1,http://[2409:8087:5011:1020::2b]/180000001001/00000001000000001001000000000036/main.m3u8?IASHttpSessionId=OTT
CCTV1,http://[2409:8087:5011:1020::2a]/PLTV/1/224/3221226098/1.m3u8
CCTV1,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000001001000000000036/index.m3u8
CCTV1,http://[2409:8087:5011:1020::2a]/180000001001/00000001000000001001000000000036/main.m3u8?IASHttpSessionId=OTT
CCTV1,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021973&livemode=1&stbId=3
CCTV1,http://[2409:8087:5011:1020::29]/PLTV/1/224/3221225728/1.m3u8
CCTV1,http://[2409:8087:5011:1020::1a]/180000001001/00000001000000000002000000027984/main.m3u8?IASHttpSessionId=OTT
CCTV1,http://[2409:8087:5011:1020::1a]/180000001001/00000001000000000002000000027984/main.m3u8?
CCTV1,http://[2409:8087:5060:20::3026]/wh7f454c46tw4285762361_-827495121/000000001000/1000000001000021973/1.m3u8?IASHttpSessionId=RR987920250207081805338110&icpid=1&RTS=1738916284&from=7&hms_devid=24622&online=1738916284&vqe=3
CCTV1,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000001000021973/1.m3u8
CCTV1,http://[2409:8087:5030:20::1e]:80/wh7f454c46tw794027007_1915888373/000000001001/PLTV/2/224/3221226134/1.m3u8
CCTV1,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000007000000001243/index.m3u8
CCTV1,http://[2409:8087:5011:1020::28]/PLTV/1/224/3221225728/1.m3u8
CCTV1,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000007000000001243/main.m3u8
CCTV1,http://[2409:8087:5011:1020::1a]/PLTV/1/224/3221226098/1.m3u8
CCTV1,http://[2409:8087:5011:1020::1b]/180000001001/00000001000000001001000000000036/main.m3u8?IASHttpSessionId=OTT
CCTV1,http://[2409:8087:5011:1020::27]/PLTV/1/224/3221226098/1.m3u8
CCTV1,http://[2409:8087:5011:1020::1b]/PLTV/1/224/3221226098/1.m3u8
